gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,num_services,Segment,Segment_Name,Assigned_Intervention,CLV,Churn_Probability,High_Risk,Intervention_Cost,intervention_cost,baseline_loss,prevented_loss,net_benefit
Female,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.1,225.55,0,0-1 year,2,2,Budget Conscious,discount_10,313.20000000000005,0.4698254,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.0,268.45,0,1-2 years,1,2,Budget Conscious,discount_10,240.0,0.4202355,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),85.3,2917.5,1,2-4 years,4,3,At-Risk Newcomers,feature_tutorial,1023.5999999999999,0.40327495,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.0,2416.1,1,2-4 years,1,3,At-Risk Newcomers,feature_tutorial,840.0,0.3927815,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,1,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1131.6,0.628765,True,0,0.0,711.510459280014,142.30209185600268,142.30209185600268
Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,0,4+ years,1,2,Budget Conscious,discount_10,248.39999999999998,0.31673622,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,70.3,132.4,0,0-1 year,4,0,Segment 0,discount_20,843.5999999999999,0.6343375,True,0,0.0,535.1271022081374,160.53813066244123,160.53813066244123
Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,660.9,1,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1144.1999999999998,0.54912925,True,0,0.0,628.3136851787566,125.66273703575132,125.66273703575132
Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,1,2-4 years,2,3,At-Risk Newcomers,feature_tutorial,906.0,0.41956475,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.55,284.9,0,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,834.5999999999999,0.57035816,True,0,0.0,476.02091796398156,95.20418359279626,95.20418359279626
Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.85,784.25,0,2-4 years,1,2,Budget Conscious,discount_10,238.20000000000002,0.37538654,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,417.7,0,1-2 years,1,2,Budget Conscious,discount_10,240.0,0.38562426,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.85,5016.25,0,4+ years,4,1,Loyal Champions,premium_support,1150.1999999999998,0.41904968,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.1,1612.75,1,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1081.1999999999998,0.4304486,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,68.95,119.75,1,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,827.4000000000001,0.64408904,True,0,0.0,532.9192742943765,106.58385485887527,106.58385485887527
Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,1,2-4 years,5,3,At-Risk Newcomers,feature_tutorial,1194.6,0.41491294,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.75,485.2,0,1-2 years,1,2,Budget Conscious,discount_10,249.0,0.41205513,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,160.85,0,0-1 year,2,0,Segment 0,discount_20,601.8,0.6244006,True,0,0.0,375.76429052352904,112.7292871570587,112.7292871570587
Female,0,Yes,Yes,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,58.65,4145.25,0,4+ years,5,1,Loyal Champions,premium_support,703.8,0.34155056,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,0,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1150.8000000000002,0.5442145,True,0,0.0,626.2820317268372,125.2564063453674,125.2564063453674
Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.5,49.5,0,0-1 year,2,0,Segment 0,discount_20,594.0,0.70006555,True,0,0.0,415.83893859386444,124.75168157815938,124.75168157815938
Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,1,1-2 years,3,0,Segment 0,discount_20,689.4000000000001,0.43111908,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),53.65,696.35,1,0-1 year,2,0,Segment 0,discount_20,643.8,0.45847213,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,0,4+ years,7,1,Loyal Champions,premium_support,961.1999999999999,0.33285883,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.4,1601.2,0,4+ years,2,2,Budget Conscious,discount_10,292.79999999999995,0.321789,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,4,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,40.05,162.45,0,0-1 year,2,0,Segment 0,discount_20,480.59999999999997,0.602074,True,0,0.0,289.3567774057388,86.80703322172164,86.80703322172164
Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,0,1-2 years,1,2,Budget Conscious,discount_10,234.0,0.38063967,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05,2066.0,0,2-4 years,2,0,Segment 0,discount_20,612.5999999999999,0.3949907,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,54.35,1426.45,0,2-4 years,3,0,Segment 0,discount_20,652.2,0.38953876,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.7,392.5,0,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,1016.4000000000001,0.6161947,True,0,0.0,626.3003185272217,125.26006370544434,125.26006370544434
Female,1,Yes,No,45,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.1,3861.45,0,2-4 years,3,3,At-Risk Newcomers,feature_tutorial,1033.1999999999998,0.43183059,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.35,2552.9,0,2-4 years,1,3,At-Risk Newcomers,feature_tutorial,844.1999999999999,0.39676788,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,6668.35,0,4+ years,7,1,Loyal Champions,premium_support,1320.0,0.4000422,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,1,0-1 year,5,3,At-Risk Newcomers,feature_tutorial,1207.1999999999998,0.56471676,True,0,0.0,681.7260682582854,136.3452136516571,136.3452136516571
Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),94.9,4615.25,0,2-4 years,5,1,Loyal Champions,premium_support,1138.8000000000002,0.3948414,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,2070.6,1,2-4 years,3,3,At-Risk Newcomers,feature_tutorial,1005.0,0.39698803,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.3,273.75,1,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1059.6,0.64811534,True,0,0.0,686.7430109739303,137.34860219478594,137.34860219478594
Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,0,4+ years,1,3,At-Risk Newcomers,feature_tutorial,837.0,0.36320066,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,27,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,0,2-4 years,5,0,Segment 0,discount_20,859.1999999999999,0.3808793,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,1,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1105.1999999999998,0.56160784,True,0,0.0,620.6889822006225,124.13779644012448,124.13779644012448
Female,0,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.65,1416.75,0,4+ years,2,2,Budget Conscious,discount_10,283.79999999999995,0.32436317,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,71,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.85,5924.4,0,4+ years,6,1,Loyal Champions,premium_support,982.1999999999999,0.33285883,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,0,4+ years,2,2,Budget Conscious,discount_10,301.20000000000005,0.3364455,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.7,7849.85,0,4+ years,8,1,Loyal Champions,premium_support,1376.4,0.36443496,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,649.4,0,1-2 years,3,0,Segment 0,discount_20,589.8,0.4501239,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,80.9,4557.5,0,4+ years,2,1,Loyal Champions,premium_support,970.8000000000001,0.35319185,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.45,3013.05,1,2-4 years,3,3,At-Risk Newcomers,feature_tutorial,953.4000000000001,0.39926437,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,1266.1,1,1-2 years,3,3,At-Risk Newcomers,feature_tutorial,1085.4,0.48858172,False,0,0.0,0.0,0.0,0.0
Female,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.3,360.35,0,1-2 years,1,2,Budget Conscious,discount_10,231.60000000000002,0.39972445,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,1046.5,0,1-2 years,1,3,At-Risk Newcomers,feature_tutorial,842.4000000000001,0.4348731,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.9,1,2-4 years,1,3,At-Risk Newcomers,feature_tutorial,837.0,0.39972457,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,8,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),54.25,447.75,0,0-1 year,3,0,Segment 0,discount_20,651.0,0.4803792,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,0,2-4 years,5,1,Loyal Champions,premium_support,1191.6,0.40760973,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,52,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.0,3877.65,0,4+ years,6,1,Loyal Champions,premium_support,888.0,0.3639925,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.25,152.3,0,0-1 year,2,0,Segment 0,discount_20,603.0,0.6244006,True,0,0.0,376.5135712623596,112.95407137870791,112.95407137870791
Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.8,572.2,0,2-4 years,1,2,Budget Conscious,discount_10,237.60000000000002,0.36889783,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,19.65,1,0-1 year,1,2,Budget Conscious,discount_10,235.79999999999998,0.6584753,True,0,0.0,155.26847097873687,23.29027064681054,23.29027064681054
Male,1,No,No,12,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.65,526.95,1,0-1 year,3,0,Segment 0,discount_20,523.8,0.48039827,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,16,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),35.5,552.7,0,1-2 years,1,0,Segment 0,discount_20,426.0,0.4462166,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,40,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,80.75,3208.65,0,2-4 years,6,1,Loyal Champions,premium_support,969.0,0.40137503,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,5,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,39.5,210.75,1,0-1 year,2,0,Segment 0,discount_20,474.0,0.5896201,True,0,0.0,279.4799337387085,83.84398012161256,83.84398012161256
Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.1,3706.95,1,2-4 years,4,3,At-Risk Newcomers,feature_tutorial,1165.1999999999998,0.40235525,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.55,620.75,0,2-4 years,1,2,Budget Conscious,discount_10,234.60000000000002,0.3791118,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.0,412.5,1,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,960.0,0.583027,True,0,0.0,559.705924987793,111.9411849975586,111.9411849975586
Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.7,832.05,1,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,1016.4000000000001,0.5066682,True,0,0.0,514.9775686740876,102.99551373481751,102.99551373481751
Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,185.55,1,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,1074.6,0.663383,True,0,0.0,712.8713793754576,142.57427587509153,142.57427587509153
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.6,1943.2,1,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1087.1999999999998,0.40326202,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,505.9,0,2-4 years,1,2,Budget Conscious,discount_10,240.60000000000002,0.36889783,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,112.4,8046.85,0,4+ years,7,1,Loyal Champions,premium_support,1348.8000000000002,0.36506423,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,34,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),50.2,1815.3,0,2-4 years,2,0,Segment 0,discount_20,602.4000000000001,0.38760373,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,10,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),62.25,612.95,0,0-1 year,4,0,Segment 0,discount_20,747.0,0.45272937,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,14,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,55.7,795.15,0,1-2 years,3,0,Segment 0,discount_20,668.4000000000001,0.4501239,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.05,2169.8,1,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1080.6,0.40671515,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,973.1,0,2-4 years,1,2,Budget Conscious,discount_10,235.79999999999998,0.37607577,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.25,2210.2,0,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1071.0,0.40671515,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.05,4853.75,1,4+ years,5,1,Loyal Champions,premium_support,1188.6,0.4044178,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,54.0,1055.9,0,1-2 years,3,0,Segment 0,discount_20,648.0,0.46360782,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,144.55,1,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,837.0,0.63156474,True,0,0.0,528.6196843385696,105.72393686771392,105.72393686771392
Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.05,91.1,1,0-1 year,2,0,Segment 0,discount_20,588.5999999999999,0.6663364,True,0,0.0,392.20561516284937,117.66168454885485,117.66168454885485
Male,0,No,No,22,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),56.75,1304.85,0,1-2 years,4,0,Segment 0,discount_20,681.0,0.41571465,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,1,0-1 year,5,3,At-Risk Newcomers,feature_tutorial,1176.6,0.55370367,True,0,0.0,651.4877331018447,130.29754662036885,130.29754662036885
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.1,21.1,0,0-1 year,1,2,Budget Conscious,discount_10,253.20000000000002,0.6942945,True,0,0.0,175.7953705072403,26.36930557608605,26.36930557608605
Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,0,4+ years,5,1,Loyal Champions,premium_support,1159.8000000000002,0.36981934,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.5,1497.9,0,4+ years,2,2,Budget Conscious,discount_10,294.0,0.34039697,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.5,4527.45,1,2-4 years,8,1,Loyal Champions,premium_support,1374.0,0.40423408,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),79.2,4590.35,0,4+ years,3,1,Loyal Champions,premium_support,950.4000000000001,0.3806133,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,200.2,0,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,834.5999999999999,0.611015,True,0,0.0,509.9531371951103,101.99062743902203,101.99062743902203
Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.05,614.45,0,2-4 years,1,2,Budget Conscious,discount_10,240.60000000000002,0.3736502,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.85,4564.9,0,2-4 years,5,1,Loyal Champions,premium_support,1186.1999999999998,0.43832138,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.75,,0,,2,2,Budget Conscious,discount_10,309.0,0.69358236,True,0,0.0,214.31694799661636,32.14754219949245,32.14754219949245
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,1,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,971.4000000000001,0.6428749,True,0,0.0,624.4886744856835,124.89773489713667,124.89773489713667
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.6,1012.4,0,4+ years,1,2,Budget Conscious,discount_10,235.20000000000002,0.36640504,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.3,940.35,1,1-2 years,2,3,At-Risk Newcomers,feature_tutorial,891.5999999999999,0.46949184,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.7,1047.7,1,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,1076.4,0.52690184,True,0,0.0,567.1571418285371,113.4314283657074,113.4314283657074
Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),87.65,2766.4,0,2-4 years,4,3,At-Risk Newcomers,feature_tutorial,1051.8000000000002,0.40327495,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,1,1-2 years,5,3,At-Risk Newcomers,feature_tutorial,1205.4,0.47046462,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,1129.35,0,1-2 years,2,3,At-Risk Newcomers,feature_tutorial,897.0,0.43331426,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),107.45,5680.9,0,4+ years,7,1,Loyal Champions,premium_support,1289.4,0.3897569,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,29,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),75.35,2243.9,0,2-4 years,5,0,Segment 0,discount_20,904.1999999999999,0.39060485,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),64.95,4523.25,0,4+ years,5,1,Loyal Champions,premium_support,779.4000000000001,0.349825,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,100.45,7159.7,0,4+ years,6,1,Loyal Champions,premium_support,1205.4,0.35443535,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,41,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.5,2839.95,0,2-4 years,5,0,Segment 0,discount_20,822.0,0.39166278,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55,80.55,0,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,966.5999999999999,0.7038675,True,0,0.0,680.3583207249641,136.07166414499284,136.07166414499284
Female,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.25,580.1,0,0-1 year,6,0,Segment 0,discount_20,975.0,0.5172009,True,0,0.0,504.27086502313614,151.2812595069409,151.2812595069409
Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.4,2178.6,1,2-4 years,3,3,At-Risk Newcomers,feature_tutorial,1084.8000000000002,0.40671515,False,0,0.0,0.0,0.0,0.0
